,ID,first_name,last_name,gender,birth,party,profession,education
0,441-carsten-ullmann-andersen,Carsten Ullmann,Andersen,M,1975-03-11T00:00:00,O,Offentligt ansat,Erhvervsuddannelse
1,1008-bo-sandberg,Bo,Sandberg,M,1962-04-29T00:00:00,V,Offentligt ansat,Erhvervsuddannelse
2,106-isabella-arendt-vlasman,Isabella,Arendt,F,1993-05-07T00:00:00,C,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
3,546-christoffer-aagaard-melson,Christoffer Aagaard,Melson,M,1984-08-16T00:00:00,V,Folketingsmedlem,Kandidat-/masteruddannelse
4,704-sofie-falck-villadsen,Sofie Falck,Villadsen,F,1994-02-27T00:00:00,F,Studerende,Kandidat-/masteruddannelse
5,960-erik-veje-rasmussen,Erik Veje,Rasmussen,M,1959-04-09T00:00:00,V,Privat ansat/selvstændig,Kandidat-/masteruddannelse
6,881-berit-raldin,Berit,Raldin,F,1969-11-04T00:00:00,Ø,Offentligt ansat,Kandidat-/masteruddannelse
7,298-sander-patrick-larsen,Sander Patrick,Larsen,M,2001-05-30T00:00:00,I,Studerende,Bachelor-/diplomuddannelse
8,675-chresten-heesgaard-ibsen,Chresten Heesgård,Ibsen,M,1975-12-02T00:00:00,,Studerende,Erhvervsuddannelse
9,570-jakob-ellemann-jensen,Jakob,Ellemann-Jensen,M,1973-09-25T00:00:00,V,Partileder,Kandidat-/masteruddannelse
10,166-soeren-hoejbjerg,Søren,Højbjerg,M,1962-02-05T00:00:00,D,Offentligt ansat,Bachelor-/diplomuddannelse
11,86-martin-wood-pedersen,Martin Wood,Pedersen,M,1970-03-17T00:00:00,C,Leder,Bachelor-/diplomuddannelse
12,850-david-roenne,David,Rønne,M,1970-11-26T00:00:00,Ø,Privat ansat/selvstændig,Erhvervsuddannelse
13,104-anders-krojgaard-lund,Anders Krojgaard,Lund,M,1990-04-22T00:00:00,C,Byråds- eller regionsrådsmedlem,Bachelor-/diplomuddannelse
14,284-anne-hegelund,Anne,Hegelund,F,1989-01-26T00:00:00,Ø,Offentligt ansat,Bachelor-/diplomuddannelse
15,883-malene-ingwersen,Malene,Ingwersen,F,1975-10-24T00:00:00,Ø,Byråds- eller regionsrådsmedlem,Seminaruddannelse
16,635-frank-soerensen,Frank,Sørensen,M,1963-12-25T00:00:00,O,Privat ansat/selvstændig,Erhvervsuddannelse
17,853-mathilde-vinther,Mathilde,Vinther,F,1994-02-18T00:00:00,Ø,Ikke oplyst,Seminaruddannelse
18,803-malte-larsen,Malte,Larsen,M,1968-12-19T00:00:00,A,Folketingsmedlem,Erhvervsuddannelse
19,510-astrid-soeborg,Astrid,Søborg,F,1976-05-23T00:00:00,V,Privat ansat/selvstændig,Kandidat-/masteruddannelse
20,255-peter-zinckernagel,Peter,Zinckernagel,M,1957-02-10T00:00:00,B,Privat ansat/selvstændig,Kandidat-/masteruddannelse
21,128-soeren-pape-poulsen,Søren Pape,Poulsen,M,1971-12-31T00:00:00,C,Partileder,Ikke oplyst
22,1112-jesper-antonsen,Jesper,Antonsen,M,1985-01-01T00:00:00,,Ikke oplyst,Ikke oplyst
23,647-mikael-lund-jensen,Mikael Lund,Jensen,M,1970-03-08T00:00:00,O,Privat ansat/selvstændig,Ph.d.-uddannelse
24,10-vinni-kjaergaard-joergensen,Vinni Kjærgaard,Jørgensen,F,1966-12-01T00:00:00,Å,Studerende,Seminaruddannelse
25,1062-line-gessoe-hansen,Line,Gessø,F,1974-10-24T00:00:00,Å,Privat ansat/selvstændig,Kandidat-/masteruddannelse
26,1056-john-vind,John,Vind,M,1973-03-09T00:00:00,O,Udenfor arbejdsmarkedet,Ikke oplyst
27,382-troels-stru-schmidt,Troels Stru,Schmidt,M,1982-01-01T00:00:00,F,Offentligt ansat,Ph.d.-uddannelse
28,30-kasper-krebs,Kasper,Krebs,M,1992-02-12T00:00:00,Å,Ikke oplyst,Seminaruddannelse
29,214-christina-rittig-falkberg,Christina Rittig,Falkberg,F,1975-05-14T00:00:00,B,Privat ansat/selvstændig,Kandidat-/masteruddannelse
30,592-jan-carlsen,Jan,Carlsen,M,1965-10-21T00:00:00,M,Leder,Gymnasial uddannelse
31,943-frits-simmelsgaard-kristensen,Frits Simmelsgaard,Kristensen,M,1961-09-15T00:00:00,K,Privat ansat/selvstændig,Erhvervsuddannelse
32,356-hans-henning-terp-hansen,Hans-Henning,Terp-Hansen,M,1973-12-08T00:00:00,I,Ikke oplyst,Ikke oplyst
33,136-siff-tang-lassen,Siff Tang,Lassen,F,2002-04-04T00:00:00,C,Studerende,Bachelor-/diplomuddannelse
34,322-jens-meilvang,Jens,Meilvang,M,1981-04-02T00:00:00,I,Byråds- eller regionsrådsmedlem,Erhvervsuddannelse
35,87-annette-juhler-kjaer,Annette Juhler,Kjær,F,1961-02-18T00:00:00,C,Privat ansat/selvstændig,Ikke oplyst
36,979-vibeke-broennum,Vibeke,Brønnum,F,1953-02-09T00:00:00,Æ,Privat ansat/selvstændig,Kandidat-/masteruddannelse
37,269-troels-brandt,Troels,Brandt,M,1967-04-25T00:00:00,B,Leder,Kandidat-/masteruddannelse
38,697-marianne-stannum,Marianne,Stannum,F,1966-06-29T00:00:00,F,Offentligt ansat,Kandidat-/masteruddannelse
39,228-jan-werner-mathiasen,Jan Werner,Mathiasen,M,1972-03-14T00:00:00,B,Offentligt ansat,Kandidat-/masteruddannelse
40,1025-xenia-anderson,Xenia,Anderson,F,2002-01-01T00:00:00,Q,Ikke oplyst,Ikke oplyst
41,792-christian-rabjerg-madsen,Christian Rabjerg,Madsen,M,1986-03-24T00:00:00,A,Minister,Kandidat-/masteruddannelse
42,249-michael-flarup,Michael,Flarup,M,1982-03-31T00:00:00,B,Offentligt ansat,Kandidat-/masteruddannelse
43,1044-elif-demir-gokce,Elif Demir,Gökce,F,1975-01-01T00:00:00,K,Ikke oplyst,Ikke oplyst
44,737-lars-ole-skovgaard,Lars Ole Skovgaard,Larsen,M,1962-01-01T00:00:00,Æ,Ikke oplyst,Ikke oplyst
45,365-robert-moerck,Robert,Mørck,M,1981-11-24T00:00:00,I,Leder,Kandidat-/masteruddannelse
46,719-vivi-altenburg,Vivi,Altenburg,F,1962-03-15T00:00:00,Æ,Leder,Kandidat-/masteruddannelse
47,90-andreas-karlsen,Andreas,Karlsen,M,1996-01-01T00:00:00,C,Privat ansat/selvstændig,Erhvervsuddannelse
48,123-roya-moore,Roya,Moore,F,1967-01-01T00:00:00,C,Offentligt ansat,Bachelor-/diplomuddannelse
49,712-inger-stoejberg,Inger,Støjberg,F,1973-01-01T00:00:00,Æ,Ikke oplyst,Ikke oplyst
50,11-nicklas-gjedsig,Nicklas,Gjedsig,M,1994-10-24T00:00:00,Å,Studerende,Kandidat-/masteruddannelse
51,889-birgit-gedionsen,Birgit,Gedionsen,F,1953-01-01T00:00:00,Ø,Ikke oplyst,Ikke oplyst
52,967-cecilie-holdt,Cecilie,Holdt,F,1986-08-18T00:00:00,F,Leder,Kandidat-/masteruddannelse
53,163-pernille-vermund,Pernille,Vermund,F,1975-12-03T00:00:00,D,Partileder,Kandidat-/masteruddannelse
54,134-ole-gade,Ole,Gade,M,1964-03-25T00:00:00,C,Privat ansat/selvstændig,Gymnasial uddannelse
55,21-rasmus-foged,Rasmus,Foged,M,1978-01-01T00:00:00,Å,Ikke oplyst,Ikke oplyst
56,744-lars-goldschmidt,Lars,Goldschmidt,M,1955-09-26T00:00:00,A,Privat ansat/selvstændig,Ph.d.-uddannelse
57,182-knud-nielsen,Knud,Nielsen,M,1956-01-01T00:00:00,D,Ikke oplyst,Ikke oplyst
58,759-leif-lahn-jensen,Leif Lahn,Jensen,M,1967-06-29T00:00:00,A,Folketingsmedlem,10. klasse
59,130-lennart-qvist,Lennart,Qvist,M,1970-10-27T00:00:00,C,Privat ansat/selvstændig,Kandidat-/masteruddannelse
60,478-kenneth-kristensen-berth,Kenneth Kristensen,Berth,M,1977-02-03T00:00:00,O,Privat ansat/selvstændig,Kandidat-/masteruddannelse
61,1103-clara-wolf,Clara,Wolf,F,1995-01-01T00:00:00,Å,Ikke oplyst,Ikke oplyst
62,146-kirsten-hassing-nielsen,Kirsten Hassing,Nielsen,F,1977-06-08T00:00:00,C,Leder,Kandidat-/masteruddannelse
63,730-peter-skaarup,Peter,Skaarup,M,1964-05-01T00:00:00,Æ,Folketingsmedlem,Gymnasial uddannelse
64,809-mette-gjerskov,Mette,Gjerskov,F,1966-07-28T00:00:00,A,Folketingsmedlem,Kandidat-/masteruddannelse
65,638-kuno-danielsen,Kuno,Danielsen,M,1963-05-05T00:00:00,O,Privat ansat/selvstændig,Erhvervsuddannelse
66,682-emma-thorup-jacobsen,Emma Thorup,Jacobsen,F,1996-08-20T00:00:00,F,Studerende,Kandidat-/masteruddannelse
67,306-mikkel-pedersen,Mikkel,Pedersen,M,1995-01-24T00:00:00,I,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
68,611-mohammed-rona,Mohammad,Rona,M,1985-01-01T00:00:00,M,Ikke oplyst,Ikke oplyst
69,988-alexandra-sasha,Alexandra,Sasha,F,1995-11-14T00:00:00,V,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
70,1131-simon-dahl-verner,Simon Dahl,Verner,M,1980-01-01T00:00:00,F,Ikke oplyst,Ikke oplyst
