,ID,votes
0,807-morten-boedskov,8489
1,747-mette-frederiksen,60837
2,775-jesper-petersen,8701
3,526-hans-andersen,4031
4,769-bjarne-laustsen,7601
5,270-zenia-stampe,2836
6,483-morten-messerschmidt,6722
7,576-troels-lund-poulsen,4584
8,403-karsten-hoenge,5215
9,628-alex-ahrendtsen,1477
10,494-erling-bonnesen,6489
11,751-nicolai-wammen,18022
12,802-pernille-rosenkrantz-theil,5361
13,803-malte-larsen,6313
14,712-inger-stoejberg,47211
15,279-soeren-egge,264
16,107-per-larsen,2384
17,277-peder-hvelplund,1978
18,790-astrid-krag,7872
19,795-dan-joergensen,8256
20,761-anders-kronborg,7407
21,469-pia-kjaersgaard,6084
22,416-kirsten-normann-andersen,8693
23,782-rasmus-prehn,1899
24,779-mogens-jensen,6413
25,809-mette-gjerskov,5244
26,717-dennis-flydtkjaer,7501
27,92-rasmus-jarlov,5216
28,490-peter-juel-jensen,3849
29,535-jacob-jensen,5797
30,525-torsten-schack-pedersen,5248
31,816-ida-margrete-meier-auken,9879
32,777-henrik-moeller,4218
33,212-christian-friis-bach,1489
34,827-mette-reissmann,3347
35,796-magnus-johannes-heunicke,22102
36,573-michael-aastrup-jensen,5795
37,789-rasmus-horn-langhoff,4931
38,818-benny-engelbrecht,10657
39,759-leif-lahn-jensen,7443
40,812-thomas-jensen,5803
41,781-flemming-moeller-mortensen,6194
42,738-marlene-harpsoee,1669
43,410-karina-lorentzen-dehnhardt,5139
44,242-lotte-rod,2714
45,696-marianne-bigum,2823
46,794-per-husted,2221
47,513-karen-ellemann,8716
48,529-sophie-loehde,12210
49,538-louise-schack-elholm,4702
50,544-anni-matthiesen,9540
51,128-soeren-pape-poulsen,15767
52,263-sofie-carsten-nielsen,2467
53,75-mette-abildgaard,6376
54,88-brigitte-klintskov-jerkel,1965
55,276-victoria-velasquez,3416
56,275-rosa-lund,9670
57,772-jeppe-bruus,4507
58,783-kaare-dybvad,8891
59,801-trine-bramsen,6456
60,750-jens-joel-sand,6418
61,784-annette-lind,9797
62,757-ane-halsboe-joergensen,5469
63,56-helle-bonnesen,2783
64,119-mai-mercado,4426
65,373-lisbeth-bech-nielsen,2279
66,724-karina-adsboel,3567
67,727-jens-henrik-w-thulesen-dahl,2210
68,454-peter-kofod,3887
69,591-jakob-engel-schmidt,4252
70,570-jakob-ellemann-jensen,20945
71,565-thomas-danielsen,7568
72,524-preben-bang-henriksen,10644
73,342-ole-birk-olesen,5488
74,825-simon-kollerup,9947
75,792-christian-rabjerg-madsen,7643
76,600-kristian-klarskov,1772
77,261-samira-nawa,6302
78,415-charlotte-broman-moelbaek,2982
79,814-anne-paulin,6905
80,793-kasper-roug,6278
81,756-mattias-tesfaye,13948
82,824-peter-hummelgaard,9321
83,808-lea-wermelin,3580
84,164-mette-thiesen,4357
85,163-pernille-vermund,15375
86,396-jacob-mark,31235
87,370-carl-valentin-lehrmann,2631
88,426-signe-munk,8032
89,602-lars-loekke-rasmussen,38439
90,303-henrik-dahl,5779
91,311-carsten-bach,2103
92,714-lise-bech,521
93,453-kenneth-fredslund-petersen,782
94,540-morten-dahlin,5466
95,563-mads-fuglede,6981
96,271-pelle-dragsted,14129
97,7-torsten-gejl,3444
98,36-franciska-rosenkilde,15699
99,165-peter-seier-christensen,2806
100,190-mikkel-bjoern-soerensen,888
101,188-lars-boje-mathiesen,11150
102,505-linea-soegaard-lidell,3719
103,734-charlotte-munch,648
104,786-maria-durhuus,2616
105,754-kasper-sand-kjaer,2930
106,335-steffen-larsen,1500
107,770-rasmus-stoklund,4647
108,273-mai-villadsen,10822
109,1134-theresa-scavenius,1081
110,393-astrid-caroee-rasmussen,2111
111,391-anne-valentina-berthelsen,1383
112,293-lars-christian-brask,3442
113,1065-sascha-faxe,1129
114,822-bjoern-boeje-brandenborg,11167
115,763-kim-aas,2337
116,830-birgitte-vind,7116
117,138-niels-flemming-hansen,2452
118,546-christoffer-aagaard-melson,6460
119,752-camilla-fabricius,4510
120,237-katrine-robsoee,3736
121,94-mona-juul,3695
122,322-jens-meilvang,1642
123,447-nick-zimmermann,1039
124,321-alex-vanopslagh,38284
125,434-theresa-berg,4115
126,194-kim-edberg,5218
127,521-marie-bjerre,9744
128,344-alexander-ryle,1948
129,595-jon-steffensen,1550
130,613-nanna-godtfredsen,2333
131,44-christina-olumeko,3476
132,701-sigurd-agersnap,2857
133,612-monika-rubin,3376
134,618-rasmus-lund-nielsen,1874
135,780-fie-thorsted-haekkerup,5789
136,760-matilde-powers,4221
137,360-steffen-froelund,2120
138,47-helene-liliendahl-brydensholt,1183
139,815-frederik-vad-nielsen,5082
140,294-sandra-elisabeth-skalvig,854
141,584-charlotte-bagge-hansen,2187
142,626-mike-fonseca,505
143,732-susie-jessen,1195
144,753-sara-emil-baaring,5247
145,330-katrine-daugaard,2861
146,620-rosa-eriksen,4469
147,351-solbjoerg-jakobsen,4421
148,829-kris-jensen-skriver,3723
149,713-kristian-boegsted,480
150,305-helena-artmann-andresen,1143
151,625-henrik-frandsen,6206
152,970-mette-kierkegaard,2935
153,132-lise-bertelsen,1894
154,785-thomas-monberg-andersen,5479
155,419-sofie-lippert-troelsen,2338
156,323-louise-brown,1085
157,621-tobias-grotkjaer-elmstroem,4085
158,616-peter-have,952
159,974-karin-liltorp,3375
160,593-jeppe-soee,2452
161,716-betina-kastbjerg,2037
162,800-thomas-skriver-jensen,3726
163,280-jette-gottlieb,1147
164,274-soeren-soendergaard,1788
165,496-lars-chr-lilleholt,5017
166,548-hans-christian-schmidt,5084
167,725-soeren-espersen,4996
168,504-jan-e-joergensen,4270
