,ID,first_name,last_name,gender,birth,party,profession,education
0,441,Carsten Ullmann,Andersen,M,1975-03-11T00:00:00,O,Offentligt ansat,Erhvervsuddannelse
1,1008,Bo,Sandberg,M,1962-04-29T00:00:00,V,Offentligt ansat,Erhvervsuddannelse
2,106,Isabella,Arendt,F,1993-05-07T00:00:00,C,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
3,546,Christoffer Aagaard,Melson,M,1984-08-16T00:00:00,V,Folketingsmedlem,Kandidat-/masteruddannelse
4,704,Sofie Falck,Villadsen,F,1994-02-27T00:00:00,F,Studerende,Kandidat-/masteruddannelse
5,960,Erik Veje,Rasmussen,M,1959-04-09T00:00:00,V,Privat ansat/selvstændig,Kandidat-/masteruddannelse
6,881,Berit,Raldin,F,1969-11-04T00:00:00,Ø,Offentligt ansat,Kandidat-/masteruddannelse
7,298,Sander Patrick,Larsen,M,2001-05-30T00:00:00,I,Studerende,Bachelor-/diplomuddannelse
8,675,Chresten Heesgård,Ibsen,M,1975-12-02T00:00:00,,Studerende,Erhvervsuddannelse
9,570,Jakob,Ellemann-Jensen,M,1973-09-25T00:00:00,V,Partileder,Kandidat-/masteruddannelse
10,166,Søren,Højbjerg,M,1962-02-05T00:00:00,D,Offentligt ansat,Bachelor-/diplomuddannelse
11,86,Martin Wood,Pedersen,M,1970-03-17T00:00:00,C,Leder,Bachelor-/diplomuddannelse
12,850,David,Rønne,M,1970-11-26T00:00:00,Ø,Privat ansat/selvstændig,Erhvervsuddannelse
13,104,Anders Krojgaard,Lund,M,1990-04-22T00:00:00,C,Byråds- eller regionsrådsmedlem,Bachelor-/diplomuddannelse
14,284,Anne,Hegelund,F,1989-01-26T00:00:00,Ø,Offentligt ansat,Bachelor-/diplomuddannelse
15,883,Malene,Ingwersen,F,1975-10-24T00:00:00,Ø,Byråds- eller regionsrådsmedlem,Seminaruddannelse
16,635,Frank,Sørensen,M,1963-12-25T00:00:00,O,Privat ansat/selvstændig,Erhvervsuddannelse
17,853,Mathilde,Vinther,F,1994-02-18T00:00:00,Ø,Ikke oplyst,Seminaruddannelse
18,803,Malte,Larsen,M,1968-12-19T00:00:00,A,Folketingsmedlem,Erhvervsuddannelse
19,510,Astrid,Søborg,F,1976-05-23T00:00:00,V,Privat ansat/selvstændig,Kandidat-/masteruddannelse
20,255,Peter,Zinckernagel,M,1957-02-10T00:00:00,B,Privat ansat/selvstændig,Kandidat-/masteruddannelse
21,128,Søren Pape,Poulsen,M,1971-12-31T00:00:00,C,Partileder,Ikke oplyst
22,1112,Jesper,Antonsen,M,1985-01-01T00:00:00,,Ikke oplyst,Ikke oplyst
23,647,Mikael Lund,Jensen,M,1970-03-08T00:00:00,O,Privat ansat/selvstændig,Ph.d.-uddannelse
